ImageID, Label, k, Distance, Accuracy
1,2,5,Euclidian,97%
2,5,5,Euclidian,97%
3,9,5,Euclidian,97%
4,2,5,Euclidian,97%
5,5,5,Euclidian,97%
6,4,5,Euclidian,97%
7,6,5,Euclidian,97%
8,8,5,Euclidian,97%
9,7,5,Euclidian,97%
10,6,5,Euclidian,97%
11,7,5,Euclidian,97%
12,6,5,Euclidian,97%
13,8,5,Euclidian,97%
14,8,5,Euclidian,97%
15,3,5,Euclidian,97%
16,4,5,Euclidian,97%
17,3,5,Euclidian,97%
18,0,5,Euclidian,97%
19,9,5,Euclidian,97%
20,4,5,Euclidian,97%
21,2,5,Euclidian,97%
22,8,5,Euclidian,97%
23,7,5,Euclidian,97%
24,0,5,Euclidian,97%
25,6,5,Euclidian,97%
26,6,5,Euclidian,97%
27,9,5,Euclidian,97%
28,1,5,Euclidian,97%
29,7,5,Euclidian,97%
30,6,5,Euclidian,97%
31,7,5,Euclidian,97%
32,2,5,Euclidian,97%
33,7,5,Euclidian,97%
34,3,5,Euclidian,97%
35,3,5,Euclidian,97%
36,5,5,Euclidian,97%
37,7,5,Euclidian,97%
38,3,5,Euclidian,97%
39,8,5,Euclidian,97%
40,9,5,Euclidian,97%
41,6,5,Euclidian,97%
42,0,5,Euclidian,97%
43,3,5,Euclidian,97%
44,1,5,Euclidian,97%
45,2,5,Euclidian,97%
46,6,5,Euclidian,97%
47,4,5,Euclidian,97%
48,4,5,Euclidian,97%
49,4,5,Euclidian,97%
50,8,5,Euclidian,97%
51,9,5,Euclidian,97%
52,0,5,Euclidian,97%
53,6,5,Euclidian,97%
54,3,5,Euclidian,97%
55,6,5,Euclidian,97%
56,2,5,Euclidian,97%
57,0,5,Euclidian,97%
58,6,5,Euclidian,97%
59,2,5,Euclidian,97%
60,3,5,Euclidian,97%
61,4,5,Euclidian,97%
62,0,5,Euclidian,97%
63,9,5,Euclidian,97%
64,7,5,Euclidian,97%
65,2,5,Euclidian,97%
66,1,5,Euclidian,97%
67,0,5,Euclidian,97%
68,3,5,Euclidian,97%
69,6,5,Euclidian,97%
70,7,5,Euclidian,97%
71,4,5,Euclidian,97%
72,7,5,Euclidian,97%
73,7,5,Euclidian,97%
74,0,5,Euclidian,97%
75,7,5,Euclidian,97%
76,3,5,Euclidian,97%
77,8,5,Euclidian,97%
78,7,5,Euclidian,97%
79,5,5,Euclidian,97%
80,8,5,Euclidian,97%
81,6,5,Euclidian,97%
82,7,5,Euclidian,97%
83,0,5,Euclidian,97%
84,5,5,Euclidian,97%
85,7,5,Euclidian,97%
86,3,5,Euclidian,97%
87,4,5,Euclidian,97%
88,4,5,Euclidian,97%
89,7,5,Euclidian,97%
90,9,5,Euclidian,97%
91,1,5,Euclidian,97%
92,8,5,Euclidian,97%
93,1,5,Euclidian,97%
94,0,5,Euclidian,97%
95,3,5,Euclidian,97%
96,3,5,Euclidian,97%
97,3,5,Euclidian,97%
98,4,5,Euclidian,97%
99,6,5,Euclidian,97%
100,4,5,Euclidian,97%
101,1,5,Euclidian,97%
102,9,5,Euclidian,97%
103,9,5,Euclidian,97%
104,8,5,Euclidian,97%
105,7,5,Euclidian,97%
106,0,5,Euclidian,97%
107,3,5,Euclidian,97%
108,7,5,Euclidian,97%
109,1,5,Euclidian,97%
110,9,5,Euclidian,97%
111,9,5,Euclidian,97%
112,5,5,Euclidian,97%
113,7,5,Euclidian,97%
114,9,5,Euclidian,97%
115,5,5,Euclidian,97%
116,4,5,Euclidian,97%
117,4,5,Euclidian,97%
118,6,5,Euclidian,97%
119,9,5,Euclidian,97%
120,3,5,Euclidian,97%
121,7,5,Euclidian,97%
122,8,5,Euclidian,97%
123,1,5,Euclidian,97%
124,5,5,Euclidian,97%
125,9,5,Euclidian,97%
126,1,5,Euclidian,97%
127,1,5,Euclidian,97%
128,1,5,Euclidian,97%
129,3,5,Euclidian,97%
130,9,5,Euclidian,97%
131,5,5,Euclidian,97%
132,4,5,Euclidian,97%
133,2,5,Euclidian,97%
134,1,5,Euclidian,97%
135,4,5,Euclidian,97%
136,2,5,Euclidian,97%
137,0,5,Euclidian,97%
138,0,5,Euclidian,97%
139,0,5,Euclidian,97%
140,6,5,Euclidian,97%
141,9,5,Euclidian,97%
142,7,5,Euclidian,97%
143,9,5,Euclidian,97%
144,5,5,Euclidian,97%
145,9,5,Euclidian,97%
146,1,5,Euclidian,97%
147,5,5,Euclidian,97%
148,7,5,Euclidian,97%
149,4,5,Euclidian,97%
150,1,5,Euclidian,97%
151,4,5,Euclidian,97%
152,0,5,Euclidian,97%
153,2,5,Euclidian,97%
154,9,5,Euclidian,97%
155,8,5,Euclidian,97%
156,3,5,Euclidian,97%
157,9,5,Euclidian,97%
158,2,5,Euclidian,97%
159,3,5,Euclidian,97%
160,3,5,Euclidian,97%
161,6,5,Euclidian,97%
162,9,5,Euclidian,97%
163,2,5,Euclidian,97%
164,5,5,Euclidian,97%
165,0,5,Euclidian,97%
166,5,5,Euclidian,97%
167,6,5,Euclidian,97%
168,4,5,Euclidian,97%
169,2,5,Euclidian,97%
170,6,5,Euclidian,97%
171,1,5,Euclidian,97%
172,0,5,Euclidian,97%
173,4,5,Euclidian,97%
174,2,5,Euclidian,97%
175,1,5,Euclidian,97%
176,5,5,Euclidian,97%
177,8,5,Euclidian,97%
178,2,5,Euclidian,97%
179,8,5,Euclidian,97%
180,5,5,Euclidian,97%
181,0,5,Euclidian,97%
182,2,5,Euclidian,97%
183,6,5,Euclidian,97%
184,7,5,Euclidian,97%
185,0,5,Euclidian,97%
186,1,5,Euclidian,97%
187,5,5,Euclidian,97%
188,3,5,Euclidian,97%
189,4,5,Euclidian,97%
190,7,5,Euclidian,97%
191,9,5,Euclidian,97%
192,4,5,Euclidian,97%
193,5,5,Euclidian,97%
194,7,5,Euclidian,97%
195,7,5,Euclidian,97%
196,1,5,Euclidian,97%
197,3,5,Euclidian,97%
198,7,5,Euclidian,97%
199,4,5,Euclidian,97%
200,0,5,Euclidian,97%
201,0,5,Euclidian,97%
202,2,5,Euclidian,97%
203,6,5,Euclidian,97%
204,9,5,Euclidian,97%
205,0,5,Euclidian,97%
206,7,5,Euclidian,97%
207,6,5,Euclidian,97%
208,1,5,Euclidian,97%
209,0,5,Euclidian,97%
210,6,5,Euclidian,97%
211,0,5,Euclidian,97%
212,5,5,Euclidian,97%
213,8,5,Euclidian,97%
214,9,5,Euclidian,97%
215,8,5,Euclidian,97%
216,1,5,Euclidian,97%
217,7,5,Euclidian,97%
218,3,5,Euclidian,97%
219,1,5,Euclidian,97%
220,8,5,Euclidian,97%
221,2,5,Euclidian,97%
222,0,5,Euclidian,97%
223,8,5,Euclidian,97%
224,4,5,Euclidian,97%
225,1,5,Euclidian,97%
226,9,5,Euclidian,97%
227,4,5,Euclidian,97%
228,2,5,Euclidian,97%
229,3,5,Euclidian,97%
230,2,5,Euclidian,97%
231,5,5,Euclidian,97%
