ImageID, Label, k, Distance, Accuracy
1,2,10,Euclidian,96%
2,5,10,Euclidian,96%
3,9,10,Euclidian,96%
4,2,10,Euclidian,96%
5,5,10,Euclidian,96%
6,4,10,Euclidian,96%
7,6,10,Euclidian,96%
8,8,10,Euclidian,96%
9,7,10,Euclidian,96%
10,6,10,Euclidian,96%
11,7,10,Euclidian,96%
12,6,10,Euclidian,96%
13,8,10,Euclidian,96%
14,8,10,Euclidian,96%
15,3,10,Euclidian,96%
16,4,10,Euclidian,96%
17,3,10,Euclidian,96%
18,0,10,Euclidian,96%
19,9,10,Euclidian,96%
20,4,10,Euclidian,96%
21,2,10,Euclidian,96%
22,8,10,Euclidian,96%
23,7,10,Euclidian,96%
24,0,10,Euclidian,96%
25,6,10,Euclidian,96%
26,6,10,Euclidian,96%
27,9,10,Euclidian,96%
28,1,10,Euclidian,96%
29,7,10,Euclidian,96%
30,6,10,Euclidian,96%
31,7,10,Euclidian,96%
32,2,10,Euclidian,96%
33,7,10,Euclidian,96%
34,3,10,Euclidian,96%
35,3,10,Euclidian,96%
36,5,10,Euclidian,96%
37,7,10,Euclidian,96%
38,3,10,Euclidian,96%
39,8,10,Euclidian,96%
40,9,10,Euclidian,96%
41,6,10,Euclidian,96%
42,0,10,Euclidian,96%
43,3,10,Euclidian,96%
44,1,10,Euclidian,96%
45,2,10,Euclidian,96%
46,6,10,Euclidian,96%
47,4,10,Euclidian,96%
48,4,10,Euclidian,96%
49,4,10,Euclidian,96%
50,8,10,Euclidian,96%
51,9,10,Euclidian,96%
52,0,10,Euclidian,96%
53,6,10,Euclidian,96%
54,3,10,Euclidian,96%
55,6,10,Euclidian,96%
56,2,10,Euclidian,96%
57,0,10,Euclidian,96%
58,6,10,Euclidian,96%
59,2,10,Euclidian,96%
60,3,10,Euclidian,96%
61,4,10,Euclidian,96%
62,0,10,Euclidian,96%
63,9,10,Euclidian,96%
64,8,10,Euclidian,96%
65,2,10,Euclidian,96%
66,1,10,Euclidian,96%
67,0,10,Euclidian,96%
68,3,10,Euclidian,96%
69,6,10,Euclidian,96%
70,7,10,Euclidian,96%
71,4,10,Euclidian,96%
72,7,10,Euclidian,96%
73,7,10,Euclidian,96%
